Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),27.42,0.00,11208.75,,,,,,27.30,,29.40,29.93,30.96,15.88
Active Decode Throughput Per User (tokens/sec/user),27.42,0.00,11208.75,,,,,,27.30,,29.40,29.93,30.96,15.88
Active Prefill Throughput (tokens/sec),1394.36,47.25,2724.76,,,,,,1457.94,,2409.45,2715.54,2724.76,800.97
Active Prefill Throughput Per User (tokens/sec/user),1394.36,47.25,2724.76,,,,,,1457.94,,2409.45,2715.54,2724.76,800.97
Active Total Throughput (tokens/sec),85.01,25.70,2724.76,,,,,,27.54,,28.89,29.03,2078.90,320.06
Credit-to-Start Latency (ms),0.76,0.40,1.82,37.95,0.45,0.50,0.52,0.59,0.69,0.88,1.04,1.14,1.51,0.24
Decode Duration (ms),4641.70,964.47,8909.84,232084.84,1381.82,2305.26,2908.14,3853.29,4406.86,5796.23,6177.47,6836.07,8134.87,1506.78
E2E Output Token Throughput (tokens/sec/user),26.48,23.86,28.48,1323.84,24.09,25.00,25.14,25.53,26.50,27.33,27.95,28.26,28.45,1.12
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.02
Effective Decode Concurrency,0.96,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.20
Effective Decode Throughput (tokens/sec),26.26,0.00,11208.75,,,,,,27.21,,29.36,29.90,30.93,16.49
Effective Decode Throughput Per User (tokens/sec/user),26.26,0.00,11208.75,,,,,,27.21,,29.36,29.90,30.93,16.49
Effective Latency (CO-aware) (ms),4846.62,1216.30,9201.53,242331.06,1566.38,2531.31,3094.56,4001.65,4758.17,6122.46,6398.35,7072.52,8355.88,1513.32
Effective Prefill Concurrency,0.04,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.20
Effective Prefill Throughput (tokens/sec),58.73,0.00,2724.76,,,,,,0.00,,0.00,0.00,2078.90,324.74
Effective Prefill Throughput Per User (tokens/sec/user),58.73,0.00,2724.76,,,,,,0.00,,0.00,0.00,2078.90,324.74
Effective Total Throughput (tokens/sec),84.98,0.00,2724.76,,,,,,27.54,,28.89,29.03,2078.90,320.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,128.26,29.00,249.00,6413.00,38.80,67.40,83.20,104.00,125.50,155.00,169.90,190.40,223.03,39.90
HTTP Chunks Sent,1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),32.48,7.61,62.73,1623.85,10.07,17.25,21.20,26.43,31.78,39.23,42.72,48.01,56.22,9.99
HTTP Data Sent (KB),1.46,0.15,5.03,73.05,0.15,0.15,0.16,0.27,1.13,2.00,3.35,3.84,4.73,1.27
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),4845.80,1215.33,9200.81,242289.87,1565.48,2530.72,3093.83,4000.69,4757.47,6121.78,6397.59,7071.16,8355.12,1513.29
HTTP Receiving (ms),4641.71,964.49,8909.85,232085.51,1381.84,2305.26,2908.16,3853.30,4406.88,5796.26,6177.49,6836.09,8134.88,1506.78
