Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),44.73,0.00,219.23,,,,,,30.24,,73.92,75.46,76.96,20.14
Active Decode Throughput Per User (tokens/sec/user),26.74,0.00,219.23,,,,,,27.40,,30.05,30.45,32.15,5.93
Active Prefill Throughput (tokens/sec),179.71,48.24,206.80,,,,,,206.80,,206.80,206.80,206.80,46.17
Active Prefill Throughput Per User (tokens/sec/user),64.25,48.24,105.89,,,,,,68.93,,68.93,68.93,68.93,8.12
Active Total Throughput (tokens/sec),49.90,26.74,206.80,,,,,,26.74,,74.44,74.44,206.80,34.41
Credit-to-Start Latency (ms),1.25,1.12,1.39,3.75,1.12,1.13,1.14,1.18,1.24,1.32,1.36,1.38,1.39,0.11
Decode Duration (ms),3672.10,2026.74,6282.72,11016.29,2040.34,2094.75,2162.76,2366.79,2706.83,4494.77,5567.54,5925.13,6211.20,1866.75
E2E Output Token Throughput (tokens/sec/user),23.47,21.73,26.19,70.41,21.75,21.81,21.88,22.11,22.49,24.34,25.45,25.82,26.12,1.95
Effective Concurrency,1.80,0.00,3.00,,,,,,1.00,,3.00,3.00,3.00,0.93
Effective Decode Concurrency,1.71,0.00,3.00,,,,,,1.00,,3.00,3.00,3.00,0.94
Effective Decode Throughput (tokens/sec),43.52,0.00,219.23,,,,,,30.19,,73.79,75.11,76.96,21.14
Effective Decode Throughput Per User (tokens/sec/user),26.02,0.00,219.23,,,,,,26.88,,30.05,30.45,32.15,7.27
Effective Latency (CO-aware) (ms),3881.96,2255.88,6453.95,11645.88,2269.49,2323.90,2391.92,2595.97,2936.05,4695.00,5750.37,6102.16,6383.59,1839.75
Effective Prefill Concurrency,0.10,0.00,3.00,,,,,,0.00,,0.00,0.00,3.00,0.51
Effective Prefill Throughput (tokens/sec),6.35,0.00,206.80,,,,,,0.00,,0.00,0.00,206.80,34.30
Effective Prefill Throughput Per User (tokens/sec/user),2.27,0.00,105.89,,,,,,0.00,,0.00,0.00,68.93,11.96
Effective Total Throughput (tokens/sec),49.87,0.00,206.80,,,,,,26.74,,74.44,74.44,206.80,34.42
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,94.67,49.00,169.00,284.00,49.34,50.70,52.40,57.50,66.00,117.50,148.40,158.70,166.94,53.02
HTTP Chunks Sent,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.92,0.76,1.12,2.75,0.76,0.77,0.78,0.81,0.87,0.99,1.07,1.09,1.11,0.15
HTTP Connection Overhead (ms),1.30,1.08,1.54,3.91,1.08,1.10,1.12,1.18,1.28,1.41,1.49,1.52,1.54,0.19
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),24.07,12.64,42.70,72.21,12.73,13.06,13.49,14.76,16.87,29.78,37.53,40.12,42.18,13.29
HTTP Data Sent (KB),0.21,0.20,0.24,0.63,0.20,0.20,0.20,0.20,0.20,0.22,0.23,0.23,0.23,0.02
HTTP DNS Lookup (ms),0.39,0.32,0.43,1.16,0.32,0.33,0.34,0.37,0.41,0.42,0.42,0.42,0.43,0.05
HTTP Duration (excl. conn) (ms),3880.53,2254.60,6452.55,11641.58,2268.20,2322.59,2390.57,2594.52,2934.43,4693.49,5748.92,6100.73,6382.18,1839.75
HTTP Receiving (ms),3672.18,2026.79,6282.86,11016.54,2040.39,2094.80,2162.81,2366.84,2706.89,4494.88,5567.67,5925.26,6211.34,1866.79
HTTP Sending (ms),1.31,1.10,1.61,3.93,1.10,1.11,1.12,1.16,1.21,1.41,1.53,1.57,1.61,0.22
HTTP Total Time (ms),3881.83,2255.68,6453.83,11645.48,2269.29,2323.71,2391.74,2595.83,2935.97,4694.90,5750.26,6102.04,6383.47,1839.76
HTTP Waiting (TTFB) (ms),207.04,168.48,226.71,621.11,169.62,174.22,179.96,197.20,225.92,226.32,226.56,226.63,226.70,27.27
Input Sequence Length (tokens),13.67,11.00,18.00,41.00,11.02,11.10,11.20,11.50,12.00,15.00,16.80,17.40,17.88,3.09
Inter Chunk Latency (ms),39.20,4.56,58.03,11016.29,31.26,33.07,33.57,35.68,39.79,42.39,43.64,45.52,48.92,4.68
Inter Token Latency (ms),40.42,37.40,42.22,121.26,37.48,37.82,38.25,39.52,41.64,41.93,42.11,42.17,42.21,2.15
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),94.67,49.00,169.00,284.00,49.34,50.70,52.40,57.50,66.00,117.50,148.40,158.70,166.94,53.02
Output Token Count (tokens),94.67,49.00,169.00,284.00,49.34,50.70,52.40,57.50,66.00,117.50,148.40,158.70,166.94,53.02
Output Token Throughput Per User (tokens/sec/user),24.81,23.68,26.74,74.44,23.69,23.72,23.75,23.85,24.01,25.38,26.19,26.47,26.69,1.37
Prefill Throughput Per User (tokens/sec/user),68.93,48.24,105.89,206.80,48.33,48.68,49.13,50.46,52.67,79.28,95.24,100.57,104.82,26.19
Request Latency (ms),3880.71,2254.77,6452.71,11642.13,2268.36,2322.75,2390.74,2594.71,2934.65,4693.68,5749.10,6100.91,6382.35,1839.74
Time to First Output Token (ms),208.61,169.99,228.02,625.84,171.15,175.78,181.56,198.91,227.83,227.92,227.98,228.00,228.02,27.31
Time to First Token (ms),208.61,169.99,228.02,625.84,171.15,175.78,181.56,198.91,227.83,227.92,227.98,228.00,228.02,27.31
Time to Second Token (ms),46.01,39.99,58.03,138.03,39.99,39.99,39.99,40.00,40.01,49.02,54.42,56.23,57.67,8.50
Tokens In Flight (tokens),126.80,0.00,189.00,,,,,,133.00,,173.00,180.00,185.00,37.24

Metric,Value
Benchmark Duration (sec),6.45
Input Token Throughput (tokens/sec),6.35
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),43.99
Request Count,3.00
Request Throughput (requests/sec),0.46
Total Input Sequence Length (tokens),41.00
Total Output Sequence Length (tokens),284.00
Total Output Tokens (tokens),284.00
Total Token Throughput (tokens/sec),50.34
