Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),119.19,0.00,229.39,,,,,,130.92,,140.10,142.83,167.75,30.59
Active Decode Throughput Per User (tokens/sec/user),16.34,0.00,229.39,,,,,,16.64,,18.90,22.48,28.65,4.33
Active Prefill Throughput (tokens/sec),900.45,37.04,2073.20,,,,,,816.36,,1727.73,1984.66,2073.20,637.22
Active Prefill Throughput Per User (tokens/sec/user),834.00,37.04,2073.20,,,,,,816.36,,1705.79,1765.48,2073.20,601.95
Active Total Throughput (tokens/sec),296.76,23.19,2180.42,,,,,,126.67,,845.44,1629.54,2075.23,452.50
Credit-to-Start Latency (ms),1.41,0.73,3.70,70.28,0.74,0.84,0.90,1.08,1.16,1.56,1.84,3.19,3.57,0.65
Decode Duration (ms),7936.01,1926.36,15787.14,396800.58,2484.16,3914.77,4968.77,6415.17,7894.44,9606.70,11085.63,12352.14,14427.62,2660.01
E2E Output Token Throughput (tokens/sec/user),15.73,12.36,21.97,786.30,13.39,14.50,14.73,15.00,15.57,16.04,17.09,17.69,20.20,1.31
Effective Concurrency,7.65,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,1.29
Effective Decode Concurrency,7.40,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,1.39
Effective Decode Throughput (tokens/sec),118.81,0.00,229.39,,,,,,130.92,,140.10,142.83,167.75,31.29
Effective Decode Throughput Per User (tokens/sec/user),16.28,0.00,229.39,,,,,,16.64,,18.90,22.48,28.65,4.42
Effective Latency (CO-aware) (ms),8198.19,2347.61,15985.06,409909.40,2821.50,4125.70,5256.57,6640.27,8168.34,9858.92,11463.05,12629.37,14659.23,2656.06
Effective Prefill Concurrency,0.24,0.00,8.00,,,,,,0.00,,1.00,1.00,2.00,0.67
Effective Prefill Throughput (tokens/sec),177.94,0.00,2073.20,,,,,,0.00,,733.64,1521.19,1984.66,456.95
Effective Prefill Throughput Per User (tokens/sec/user),164.81,0.00,2073.20,,,,,,0.00,,733.64,1355.03,1765.48,426.49
Effective Total Throughput (tokens/sec),296.75,0.00,2180.42,,,,,,126.67,,845.44,1629.54,2075.23,452.50
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,128.38,29.00,249.00,6419.00,38.80,69.60,83.20,104.00,125.00,154.25,170.70,195.10,225.97,40.25
