Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),64.61,15.88,704.10,,,,,,66.63,,77.66,79.36,81.66,13.81
Active Decode Throughput Per User (tokens/sec/user),23.91,7.84,234.70,,,,,,23.79,,26.76,27.28,29.47,4.13
Active Prefill Throughput (tokens/sec),199.13,53.95,225.66,,,,,,225.66,,225.66,225.66,225.66,44.48
Active Prefill Throughput Per User (tokens/sec/user),71.84,53.95,101.12,,,,,,75.22,,75.22,75.22,75.22,5.71
Active Total Throughput (tokens/sec),65.88,23.93,225.66,,,,,,71.13,,71.13,71.13,71.13,17.12
Credit-to-Start Latency (ms),1.63,1.52,1.71,4.89,1.52,1.53,1.55,1.59,1.67,1.69,1.70,1.70,1.71,0.08
Decode Duration (ms),25983.22,21079.08,28585.99,77949.65,21223.19,21799.63,22520.18,24681.83,28284.57,28435.28,28525.71,28555.85,28579.96,3469.93
E2E Output Token Throughput (tokens/sec/user),23.55,23.19,23.76,70.65,23.20,23.24,23.29,23.45,23.70,23.73,23.75,23.76,23.76,0.26
Effective Concurrency,2.73,0.00,3.00,,,,,,3.00,,3.00,3.00,3.00,0.47
Effective Decode Concurrency,2.70,0.00,3.00,,,,,,3.00,,3.00,3.00,3.00,0.52
Effective Decode Throughput (tokens/sec),64.20,0.00,704.10,,,,,,66.60,,77.56,79.36,81.66,14.69
Effective Decode Throughput Per User (tokens/sec/user),23.76,0.00,234.70,,,,,,23.78,,26.76,27.28,29.47,4.54
Effective Latency (CO-aware) (ms),26204.79,21258.60,28828.53,78614.36,21403.97,21985.46,22712.33,24892.91,28527.23,28677.88,28768.27,28798.40,28822.50,3499.64
Effective Prefill Concurrency,0.02,0.00,3.00,,,,,,0.00,,0.00,0.00,0.00,0.25
Effective Prefill Throughput (tokens/sec),1.66,0.00,225.66,,,,,,0.00,,0.00,0.00,0.00,18.58
Effective Prefill Throughput Per User (tokens/sec/user),0.60,0.00,101.12,,,,,,0.00,,0.00,0.00,0.00,6.56
Effective Total Throughput (tokens/sec),65.86,0.00,225.66,,,,,,71.13,,71.13,71.13,71.13,17.14
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,618.00,493.00,685.00,1854.00,496.66,511.30,529.60,584.50,676.00,680.50,683.20,684.10,684.82,88.46
HTTP Chunks Sent,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),1.42,1.22,1.68,4.27,1.22,1.23,1.25,1.30,1.37,1.53,1.62,1.65,1.68,0.19
HTTP Connection Overhead (ms),2.11,1.79,2.55,6.32,1.80,1.81,1.83,1.89,1.99,2.27,2.43,2.49,2.54,0.32
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),155.01,123.69,171.73,465.02,124.61,128.28,132.87,146.64,169.59,170.66,171.30,171.52,171.69,22.16
HTTP Data Sent (KB),0.22,0.20,0.23,0.65,0.20,0.20,0.21,0.21,0.22,0.22,0.23,0.23,0.23,0.01
HTTP DNS Lookup (ms),0.68,0.58,0.87,2.05,0.58,0.58,0.58,0.59,0.61,0.74,0.81,0.84,0.86,0.13
HTTP Duration (excl. conn) (ms),26202.88,21256.83,28826.55,78608.65,21402.20,21983.67,22710.52,24891.05,28525.27,28675.91,28766.29,28796.42,28820.52,3499.55
HTTP Receiving (ms),25983.28,21079.12,28586.06,77949.83,21223.23,21799.67,22520.22,24681.88,28284.65,28435.36,28525.78,28555.92,28580.03,3469.95
HTTP Sending (ms),2.01,1.69,2.34,6.02,1.70,1.72,1.75,1.84,1.99,2.16,2.27,2.30,2.33,0.26
HTTP Total Time (ms),26204.99,21258.62,28829.09,78614.97,21403.99,21985.49,22712.35,24892.94,28527.26,28678.18,28768.73,28798.91,28823.06,3499.78
HTTP Waiting (TTFB) (ms),217.60,176.02,238.63,652.80,177.26,182.24,188.45,207.09,238.15,238.39,238.53,238.58,238.62,29.40
Input Sequence Length (tokens),16.00,13.00,18.00,48.00,13.08,13.40,13.80,15.00,17.00,17.50,17.80,17.90,17.98,2.16
Inter Chunk Latency (ms),42.11,4.21,85.08,77949.65,33.84,36.70,37.37,38.98,41.95,44.91,47.74,48.61,50.25,4.80
Inter Token Latency (ms),42.18,41.79,42.84,126.54,41.79,41.80,41.81,41.85,41.90,42.37,42.66,42.75,42.82,0.47
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),618.00,493.00,685.00,1854.00,496.66,511.30,529.60,584.50,676.00,680.50,683.20,684.10,684.82,88.46
Output Token Count (tokens),618.00,493.00,685.00,1854.00,496.66,511.30,529.60,584.50,676.00,680.50,683.20,684.10,684.82,88.46
Output Token Throughput Per User (tokens/sec/user),23.71,23.34,23.93,71.13,23.35,23.39,23.45,23.60,23.86,23.90,23.92,23.92,23.93,0.26
Prefill Throughput Per User (tokens/sec/user),75.22,53.95,101.12,225.66,54.28,55.61,57.27,62.27,70.59,85.86,95.02,98.07,100.51,19.54
Request Latency (ms),26203.16,21257.08,28826.82,78609.47,21402.45,21983.93,22710.78,24891.32,28525.56,28676.19,28766.57,28796.70,28820.80,3499.56
Time to First Output Token (ms),219.94,178.00,240.99,659.82,179.26,184.29,190.57,209.42,240.83,240.91,240.95,240.97,240.98,29.65
Time to First Token (ms),219.94,178.00,240.99,659.82,179.26,184.29,190.57,209.42,240.83,240.91,240.95,240.97,240.98,29.65
Time to Second Token (ms),52.21,46.83,62.96,156.62,46.83,46.83,46.83,46.83,46.83,54.89,59.74,61.35,62.64,7.61
Tokens In Flight (tokens),884.90,0.00,1525.00,,,,,,1018.00,,1357.00,1423.00,1504.00,415.25

Metric,Value
Benchmark Duration (sec),28.83
Input Token Throughput (tokens/sec),1.66
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),64.30
Request Count,3.00
Request Throughput (requests/sec),0.10
Total Input Sequence Length (tokens),48.00
Total Output Sequence Length (tokens),1854.00
Total Output Tokens (tokens),1854.00
Total Token Throughput (tokens/sec),65.97
