Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),21.07,0.00,44.98,,,,,,21.08,,22.13,22.35,22.62,0.80
Active Decode Throughput Per User (tokens/sec/user),21.07,0.00,44.98,,,,,,21.08,,22.13,22.35,22.62,0.80
Active Prefill Throughput (tokens/sec),951.66,141.23,1479.70,,,,,,962.50,,1479.70,1479.70,1479.70,508.22
Active Prefill Throughput Per User (tokens/sec/user),951.66,141.23,1479.70,,,,,,962.50,,1479.70,1479.70,1479.70,508.22
Active Total Throughput (tokens/sec),48.81,20.82,1479.70,,,,,,21.15,,21.33,21.33,1479.70,180.94
Credit-to-Start Latency (ms),1.05,0.80,1.49,3.16,0.80,0.81,0.81,0.83,0.87,1.18,1.36,1.43,1.48,0.31
Decode Duration (ms),5757.61,3422.29,7943.52,17272.83,3471.98,3670.76,3919.23,4664.66,5907.02,6925.27,7536.22,7739.87,7902.79,1848.81
E2E Output Token Throughput (tokens/sec/user),20.54,20.33,20.94,61.63,20.33,20.34,20.34,20.35,20.36,20.65,20.82,20.88,20.93,0.28
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.02
Effective Decode Concurrency,0.97,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.17
Effective Decode Throughput (tokens/sec),20.44,0.00,44.98,,,,,,21.04,,22.12,22.35,22.62,3.69
Effective Decode Throughput Per User (tokens/sec/user),20.44,0.00,44.98,,,,,,21.04,,22.12,22.35,22.62,3.69
Effective Latency (CO-aware) (ms),5935.55,3635.03,8072.46,17806.64,3684.31,3881.44,4127.86,4867.09,6099.15,7085.81,7677.80,7875.13,8033.00,1815.26
Effective Prefill Concurrency,0.03,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.17
Effective Prefill Throughput (tokens/sec),28.35,0.00,1479.70,,,,,,0.00,,0.00,0.00,1479.70,184.05
Effective Prefill Throughput Per User (tokens/sec/user),28.35,0.00,1479.70,,,,,,0.00,,0.00,0.00,1479.70,184.05
Effective Total Throughput (tokens/sec),48.79,0.00,1479.70,,,,,,21.15,,21.33,21.33,1479.70,180.91
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,121.33,73.00,168.00,364.00,74.00,78.00,83.00,98.00,123.00,145.50,159.00,163.50,167.10,38.80
HTTP Chunks Sent,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.33,0.00,0.99,0.99,0.00,0.00,0.00,0.00,0.00,0.49,0.79,0.89,0.97,0.46
HTTP Connection Overhead (ms),0.48,0.00,1.43,1.43,0.00,0.00,0.00,0.00,0.00,0.71,1.14,1.28,1.40,0.67
HTTP Connection Reused (ratio),0.67,0.00,1.00,2.00,0.02,0.10,0.20,0.50,1.00,1.00,1.00,1.00,1.00,0.47
HTTP Data Received (KB),31.24,18.92,43.14,93.72,19.17,20.19,21.47,25.29,31.67,37.40,40.84,41.99,42.91,9.89
HTTP Data Sent (KB),0.97,0.24,1.53,2.92,0.26,0.33,0.42,0.69,1.14,1.34,1.45,1.49,1.52,0.54
HTTP DNS Lookup (ms),0.15,0.00,0.44,0.44,0.00,0.00,0.00,0.00,0.00,0.22,0.35,0.40,0.43,0.21
HTTP Duration (excl. conn) (ms),5934.39,3634.18,8070.78,17803.16,3683.46,3880.58,4126.98,4866.19,6098.20,7084.49,7676.27,7873.52,8031.33,1814.94
HTTP Receiving (ms),5757.62,3422.29,7943.56,17272.87,3471.99,3670.76,3919.24,4664.66,5907.03,6925.29,7536.25,7739.90,7902.83,1848.82
HTTP Sending (ms),0.58,0.15,1.41,1.75,0.15,0.15,0.16,0.17,0.19,0.80,1.17,1.29,1.38,0.58
HTTP Total Time (ms),5934.86,3634.18,8072.21,17804.58,3683.46,3880.58,4126.98,4866.19,6098.20,7085.20,7677.41,7874.81,8032.73,1815.50
HTTP Waiting (TTFB) (ms),176.18,125.82,211.74,528.53,127.12,132.33,138.85,158.40,190.98,201.36,207.59,209.66,211.32,36.60
