Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),77.42,0.00,2689.09,,,,,,83.05,,91.78,93.60,96.75,19.19
Active Decode Throughput Per User (tokens/sec/user),20.43,0.00,2689.09,,,,,,21.00,,22.98,23.45,24.19,6.37
Active Prefill Throughput (tokens/sec),1134.59,41.91,2871.38,,,,,,1265.05,,2163.70,2609.95,2669.14,733.79
Active Prefill Throughput Per User (tokens/sec/user),1108.62,41.91,2669.14,,,,,,1197.15,,2163.70,2609.95,2669.14,726.01
Active Total Throughput (tokens/sec),207.21,20.18,2913.81,,,,,,83.15,,156.99,1344.39,2426.17,433.33
Credit-to-Start Latency (ms),1.00,0.46,3.10,50.10,0.50,0.56,0.65,0.78,0.86,1.18,1.44,1.60,2.58,0.44
Decode Duration (ms),6368.48,2848.51,11893.34,318423.84,3058.55,3603.20,4245.63,5364.68,6291.93,7228.05,8020.07,9204.47,11892.58,1798.81
E2E Output Token Throughput (tokens/sec/user),20.12,18.00,21.97,1006.22,18.01,18.46,18.60,19.21,20.39,20.89,21.41,21.77,21.95,1.08
Effective Concurrency,3.88,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.53
Effective Decode Concurrency,3.75,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.62
Effective Decode Throughput (tokens/sec),77.27,0.00,2689.09,,,,,,82.99,,91.78,93.60,96.75,19.46
Effective Decode Throughput Per User (tokens/sec/user),20.39,0.00,2689.09,,,,,,20.99,,22.98,23.45,24.19,6.43
Effective Latency (CO-aware) (ms),6579.95,3046.42,12198.01,328997.32,3291.85,3810.91,4452.74,5580.36,6527.17,7426.31,8173.59,9461.90,12169.63,1810.06
Effective Prefill Concurrency,0.12,0.00,4.00,,,,,,0.00,,1.00,1.00,1.00,0.37
Effective Prefill Throughput (tokens/sec),129.93,0.00,2871.38,,,,,,0.00,,94.22,1285.16,2367.95,438.41
Effective Prefill Throughput Per User (tokens/sec/user),126.96,0.00,2669.14,,,,,,0.00,,88.46,1285.16,2367.95,430.11
Effective Total Throughput (tokens/sec),207.20,0.00,2913.81,,,,,,83.15,,156.99,1344.39,2426.17,433.32
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,132.12,62.00,249.00,6606.00,67.88,79.60,89.50,107.25,129.50,154.25,168.10,182.40,245.08,36.16
HTTP Chunks Sent,1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.04,0.00,1.30,1.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.20
HTTP Connection Overhead (ms),0.05,0.00,1.84,2.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.24,0.27
HTTP Connection Reused (ratio),0.96,0.00,1.00,48.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.20
HTTP Data Received (KB),33.96,16.14,63.66,1697.87,17.62,20.60,23.10,27.64,33.30,39.58,43.15,46.77,62.59,9.19
