Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),55.07,15.26,87.60,,,,,,60.36,,64.47,65.65,67.08,11.12
Active Decode Throughput Per User (tokens/sec/user),20.43,6.87,31.44,,,,,,20.32,,21.49,21.88,22.36,0.85
Active Prefill Throughput (tokens/sec),132.19,43.71,140.20,,,,,,140.20,,140.20,140.20,140.20,17.02
Active Prefill Throughput Per User (tokens/sec/user),47.00,43.71,48.25,,,,,,46.73,,48.25,48.25,48.25,0.59
Active Total Throughput (tokens/sec),58.71,20.54,140.20,,,,,,61.43,,61.43,61.43,140.20,19.01
Credit-to-Start Latency (ms),1.44,1.25,1.70,4.33,1.25,1.26,1.28,1.32,1.39,1.54,1.64,1.67,1.69,0.19
Decode Duration (ms),7521.89,5995.31,8324.29,22565.67,6040.33,6220.39,6445.47,7120.69,8246.07,8285.18,8308.64,8316.47,8322.72,1079.93
E2E Output Token Throughput (tokens/sec/user),19.69,19.50,19.80,59.08,19.51,19.53,19.56,19.64,19.78,19.79,19.80,19.80,19.80,0.14
Effective Concurrency,2.71,0.00,3.00,,,,,,3.00,,3.00,3.00,3.00,0.49
Effective Decode Concurrency,2.60,0.00,3.00,,,,,,3.00,,3.00,3.00,3.00,0.70
Effective Decode Throughput (tokens/sec),53.16,0.00,87.60,,,,,,60.24,,64.47,65.65,67.08,14.85
Effective Decode Throughput Per User (tokens/sec/user),19.72,0.00,31.44,,,,,,20.30,,21.49,21.88,22.36,3.82
Effective Latency (CO-aware) (ms),7864.30,6359.59,8688.54,23592.90,6403.30,6578.11,6796.63,7452.18,8544.77,8616.65,8659.79,8674.16,8685.67,1065.61
Effective Prefill Concurrency,0.12,0.00,3.00,,,,,,0.00,,0.00,0.00,3.00,0.57
Effective Prefill Throughput (tokens/sec),5.52,0.00,140.20,,,,,,0.00,,0.00,0.00,140.20,26.68
Effective Prefill Throughput Per User (tokens/sec/user),1.96,0.00,48.25,,,,,,0.00,,0.00,0.00,46.73,9.41
Effective Total Throughput (tokens/sec),58.69,0.00,140.20,,,,,,61.43,,61.43,61.43,140.20,19.04
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,154.67,124.00,171.00,464.00,124.90,128.50,133.00,146.50,169.00,170.00,170.60,170.80,170.96,21.70
HTTP Chunks Sent,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),1.11,1.04,1.19,3.32,1.04,1.04,1.05,1.06,1.09,1.14,1.17,1.18,1.19,0.06
HTTP Connection Overhead (ms),1.55,1.47,1.69,4.66,1.47,1.47,1.48,1.48,1.50,1.59,1.65,1.67,1.68,0.10
