Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),22.86,0.00,9543.44,,,,,,22.73,,24.80,25.27,25.96,7.80
Active Decode Throughput Per User (tokens/sec/user),22.86,0.00,9543.44,,,,,,22.73,,24.80,25.27,25.96,7.80
Active Prefill Throughput (tokens/sec),3194.35,54.72,9052.43,,,,,,3200.91,,5325.51,7475.99,9052.43,1920.87
Active Prefill Throughput Per User (tokens/sec/user),3194.35,54.72,9052.43,,,,,,3200.91,,5325.51,7475.99,9052.43,1920.87
Active Total Throughput (tokens/sec),61.48,21.09,9052.43,,,,,,22.76,,24.50,24.53,2107.64,407.38
Credit-to-Start Latency (ms),1.41,0.49,3.00,70.66,0.50,0.59,0.71,0.97,1.36,1.71,2.20,2.40,2.91,0.58
Decode Duration (ms),22102.15,5080.96,40606.82,1105107.35,6584.57,11551.61,14339.86,18124.69,22094.66,27260.47,29761.11,31771.80,37903.43,6725.00
E2E Output Token Throughput (tokens/sec/user),22.62,20.91,24.47,1130.75,21.01,21.40,21.48,21.82,22.42,23.39,24.25,24.42,24.46,1.01
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.01
Effective Decode Concurrency,0.99,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.11
Effective Decode Throughput (tokens/sec),22.57,0.00,9543.44,,,,,,22.70,,24.79,25.26,25.96,8.15
Effective Decode Throughput Per User (tokens/sec/user),22.57,0.00,9543.44,,,,,,22.70,,24.79,25.26,25.96,8.15
Effective Latency (CO-aware) (ms),22377.04,5203.45,40938.83,1118852.08,6700.95,11686.42,14858.09,18293.13,22364.21,27543.15,29879.34,32024.78,38167.09,6731.09
Effective Prefill Concurrency,0.01,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.11
Effective Prefill Throughput (tokens/sec),38.90,0.00,9052.43,,,,,,0.00,,0.00,0.00,2107.64,409.49
Effective Prefill Throughput Per User (tokens/sec/user),38.90,0.00,9052.43,,,,,,0.00,,0.00,0.00,2107.64,409.49
Effective Total Throughput (tokens/sec),61.48,0.00,9052.43,,,,,,22.76,,24.50,24.53,2107.64,407.35
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,505.70,113.00,995.00,25285.00,153.18,266.70,332.50,415.25,499.50,618.25,670.40,727.95,887.20,156.22
HTTP Chunks Sent,1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),128.84,29.13,253.16,6442.22,39.30,68.16,84.78,105.75,127.32,157.14,170.86,185.27,225.80,39.70
HTTP Data Sent (KB),3.86,0.17,16.41,192.86,0.17,0.17,0.18,0.22,2.95,5.63,9.42,12.68,15.26,4.12
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),22375.56,5201.87,40937.28,1118778.04,6699.49,11684.90,14856.32,18291.53,22362.67,27541.93,29877.50,32023.84,38165.98,6731.12
HTTP Receiving (ms),22103.10,5080.96,40606.82,1105154.93,6584.57,11551.62,14339.84,18124.69,22094.66,27260.50,29761.11,31771.81,37903.43,6725.81
HTTP Sending (ms),0.13,0.09,0.23,6.67,0.09,0.09,0.10,0.10,0.14,0.16,0.17,0.20,0.22,0.03
HTTP Total Time (ms),22375.56,5201.87,40937.28,1118778.04,6699.49,11684.90,14856.32,18291.53,22362.67,27541.93,29877.50,32023.84,38165.98,6731.12
HTTP Waiting (TTFB) (ms),272.33,98.43,790.68,13616.44,99.57,103.84,108.49,122.85,234.51,337.49,514.17,613.90,731.59,170.07
Input Sequence Length (tokens),870.58,6.00,3557.00,43529.00,6.49,7.00,9.00,14.50,645.00,1270.00,2352.70,2884.55,3342.38,952.91
Inter Chunk Latency (ms),43.81,0.10,136.24,1105107.35,38.45,39.48,40.22,41.63,43.79,45.95,47.40,48.23,50.20,3.52
Inter Token Latency (ms),43.81,40.49,47.41,2190.71,40.62,40.82,41.10,42.06,44.05,45.44,45.94,46.27,47.29,1.88
OSL Mismatch Diff % (%),-0.31,-15.73,0.20,-15.70,-8.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,2.20
Output Sequence Length (tokens),506.18,114.00,995.00,25309.00,153.69,267.15,332.60,415.25,500.00,618.50,671.30,728.50,887.20,156.16
Output Token Count (tokens),506.18,114.00,995.00,25309.00,153.69,267.15,332.60,415.25,500.00,618.50,671.30,728.50,887.20,156.16
Output Token Throughput Per User (tokens/sec/user),22.87,21.09,24.70,1143.32,21.15,21.61,21.77,22.01,22.70,23.78,24.33,24.50,24.62,0.99
Prefill Throughput Per User (tokens/sec/user),2336.80,54.72,9052.43,116839.82,59.45,66.77,75.88,132.29,2624.37,3333.74,3757.39,6367.62,8279.97,2057.99
Request Latency (ms),22374.68,5201.93,40937.35,1118734.22,6699.55,11684.96,14856.46,18291.59,22362.75,27542.00,29877.58,32023.90,38166.04,6730.30
Time to First Output Token (ms),272.54,98.58,790.89,13626.86,99.77,104.08,108.68,123.11,234.74,337.73,514.42,614.05,731.86,170.08
Time to First Token (ms),272.54,98.58,790.89,13626.86,99.77,104.08,108.68,123.11,234.74,337.73,514.42,614.05,731.86,170.08
Time to Second Token (ms),44.29,39.37,49.49,2214.47,39.45,40.52,40.95,42.33,44.08,46.40,47.74,48.75,49.38,2.65
Tokens In Flight (tokens),1156.88,0.00,4011.00,,,,,,927.91,,2648.00,3179.00,3768.46,936.33

Metric,Value
Benchmark Duration (sec),1118.95
Input Token Throughput (tokens/sec),38.90
OSL Mismatch Count,1.00
Output Token Throughput (tokens/sec),22.62
Request Count,50.00
Request Throughput (requests/sec),0.04
Total Input Sequence Length (tokens),43529.00
Total Output Sequence Length (tokens),25309.00
Total Output Tokens (tokens),25309.00
Total Token Throughput (tokens/sec),61.52
