Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),22.61,0.00,49.80,,,,,,22.36,,24.21,24.47,24.97,1.21
Active Decode Throughput Per User (tokens/sec/user),22.61,0.00,49.80,,,,,,22.36,,24.21,24.47,24.97,1.21
Active Prefill Throughput (tokens/sec),2269.82,97.69,2976.58,,,,,,2294.08,,2976.58,2976.58,2976.58,964.14
Active Prefill Throughput Per User (tokens/sec/user),2269.82,97.69,2976.58,,,,,,2294.08,,2976.58,2976.58,2976.58,964.14
Active Total Throughput (tokens/sec),48.48,22.05,2976.58,,,,,,22.78,,23.19,23.19,97.69,261.09
Credit-to-Start Latency (ms),1.82,1.26,2.71,5.46,1.26,1.28,1.30,1.37,1.49,2.10,2.47,2.59,2.69,0.64
Decode Duration (ms),21524.37,12636.33,29627.49,64573.10,12829.79,13603.63,14570.92,17472.81,22309.29,25968.39,28163.85,28895.67,29481.12,6958.78
E2E Output Token Throughput (tokens/sec/user),22.41,21.77,22.73,67.22,21.79,21.87,21.96,22.25,22.72,22.73,22.73,22.73,22.73,0.45
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.01
Effective Decode Concurrency,0.99,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.11
Effective Decode Throughput (tokens/sec),22.35,0.00,49.80,,,,,,22.33,,24.21,24.47,24.97,2.71
Effective Decode Throughput Per User (tokens/sec/user),22.35,0.00,49.80,,,,,,22.33,,24.21,24.47,24.97,2.71
Effective Latency (CO-aware) (ms),21776.87,12942.87,29741.58,65330.61,13136.93,13913.20,14883.53,17794.52,22646.16,26193.87,28322.49,29032.04,29599.67,6885.54
Effective Prefill Concurrency,0.01,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.11
Effective Prefill Throughput (tokens/sec),26.13,0.00,2976.58,,,,,,0.00,,0.00,0.00,97.69,263.28
Effective Prefill Throughput Per User (tokens/sec/user),26.13,0.00,2976.58,,,,,,0.00,,0.00,0.00,97.69,263.28
Effective Total Throughput (tokens/sec),48.47,0.00,2976.58,,,,,,22.78,,23.19,23.19,97.69,261.07
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,486.67,293.00,675.00,1460.00,296.98,312.90,332.80,392.50,492.00,583.50,638.40,656.70,671.34,156.00
HTTP Chunks Sent,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.28,0.00,0.83,0.83,0.00,0.00,0.00,0.00,0.00,0.41,0.66,0.75,0.81,0.39
HTTP Connection Overhead (ms),0.40,0.00,1.19,1.19,0.00,0.00,0.00,0.00,0.00,0.59,0.95,1.07,1.17,0.56
HTTP Connection Reused (ratio),0.67,0.00,1.00,2.00,0.02,0.10,0.20,0.50,1.00,1.00,1.00,1.00,1.00,0.47
HTTP Data Received (KB),124.05,74.88,171.92,372.14,75.88,79.92,84.97,100.11,125.34,148.63,162.61,167.26,170.99,39.63
HTTP Data Sent (KB),2.63,0.22,4.52,7.88,0.28,0.51,0.80,1.68,3.15,3.83,4.24,4.38,4.49,1.79
HTTP DNS Lookup (ms),0.12,0.00,0.36,0.36,0.00,0.00,0.00,0.00,0.00,0.18,0.29,0.33,0.35,0.17
HTTP Duration (excl. conn) (ms),21774.94,12940.09,29739.90,65324.82,13134.18,13910.56,14881.04,17792.46,22644.83,26192.36,28320.88,29030.39,29597.99,6886.02
