Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),22.75,0.00,5586.31,,,,,,22.50,,24.60,25.08,26.03,5.78
Active Decode Throughput Per User (tokens/sec/user),22.75,0.00,5586.31,,,,,,22.50,,24.60,25.08,26.03,5.78
Active Prefill Throughput (tokens/sec),3873.92,54.75,13170.15,,,,,,3411.38,,7815.72,10011.24,13170.15,2601.66
Active Prefill Throughput Per User (tokens/sec/user),3873.92,54.75,13170.15,,,,,,3411.38,,7815.72,10011.24,13170.15,2601.66
Active Total Throughput (tokens/sec),71.13,21.53,13170.15,,,,,,22.51,,24.20,24.62,2406.97,518.67
Credit-to-Start Latency (ms),1.44,0.42,3.14,71.97,0.44,0.59,0.76,1.00,1.37,1.87,2.23,2.49,3.01,0.62
Decode Duration (ms),22807.76,4562.72,45053.92,1140387.93,6535.72,10653.78,13417.13,17986.66,22746.98,27969.51,31280.72,33628.32,39898.28,7368.74
E2E Output Token Throughput (tokens/sec/user),22.50,21.36,24.55,1125.19,21.37,21.44,21.66,21.91,22.24,22.97,23.73,24.30,24.52,0.84
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.01
Effective Decode Concurrency,0.99,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.11
Effective Decode Throughput (tokens/sec),22.46,0.00,5586.31,,,,,,22.47,,24.59,25.07,26.02,6.28
Effective Decode Throughput Per User (tokens/sec/user),22.46,0.00,5586.31,,,,,,22.47,,24.59,25.07,26.02,6.28
Effective Latency (CO-aware) (ms),23099.37,5223.33,45162.85,1154968.48,6972.65,11059.71,13589.96,18342.14,23133.38,28100.62,31585.55,33962.32,40062.96,7340.82
Effective Prefill Concurrency,0.01,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.11
Effective Prefill Throughput (tokens/sec),48.66,0.00,13170.15,,,,,,0.00,,0.00,0.00,2406.97,520.72
Effective Prefill Throughput Per User (tokens/sec/user),48.66,0.00,13170.15,,,,,,0.00,,0.00,0.00,2406.97,520.72
Effective Total Throughput (tokens/sec),71.12,0.00,13170.15,,,,,,22.51,,24.20,24.62,2406.97,518.63
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,519.12,113.00,995.00,25956.00,152.69,252.20,300.10,415.25,509.50,632.00,687.60,777.85,902.39,166.08
HTTP Chunks Sent,1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),132.31,29.09,253.14,6615.72,39.24,64.50,76.52,106.00,129.86,160.88,175.23,197.94,229.72,42.19
HTTP Data Sent (KB),5.00,0.15,21.47,250.04,0.15,0.16,0.16,0.19,3.42,8.25,11.70,14.70,19.83,5.10
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),23097.87,5222.33,45160.97,1154893.30,6971.41,11057.88,13588.58,18340.87,23131.58,28098.30,31583.58,33960.68,40061.75,7340.74
HTTP Receiving (ms),22807.77,4562.76,45053.98,1140388.31,6535.74,10653.79,13417.13,17986.67,22746.99,27969.52,31280.72,33628.32,39898.31,7368.74
HTTP Sending (ms),0.13,0.09,0.35,6.44,0.09,0.09,0.09,0.10,0.13,0.15,0.16,0.17,0.27,0.04
HTTP Total Time (ms),23097.87,5222.33,45160.97,1154893.30,6971.41,11057.88,13588.58,18340.87,23131.58,28098.30,31583.58,33960.68,40061.75,7340.74
HTTP Waiting (TTFB) (ms),289.97,106.83,767.09,14498.55,106.87,108.52,112.66,154.10,225.66,372.29,558.00,663.56,720.13,175.67
Input Sequence Length (tokens),1124.10,6.00,4758.00,56205.00,6.49,8.45,9.90,15.25,753.50,1835.50,2621.50,3262.95,4405.20,1156.21
Inter Chunk Latency (ms),44.04,0.18,146.63,1140387.93,38.23,39.75,40.55,42.06,44.37,45.94,47.10,47.88,49.63,3.68
Inter Token Latency (ms),43.89,40.38,46.45,2194.50,40.46,40.63,41.19,42.62,44.37,44.96,45.47,45.97,46.40,1.62
OSL Mismatch Diff % (%),-0.00,-0.18,0.00,-0.18,-0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02
Output Sequence Length (tokens),519.86,114.00,995.00,25993.00,153.69,253.20,301.10,416.25,510.50,632.25,687.70,778.85,902.88,165.99
Output Token Count (tokens),519.86,114.00,995.00,25993.00,153.69,253.20,301.10,416.25,510.50,632.25,687.70,778.85,902.88,165.99
Output Token Throughput Per User (tokens/sec/user),22.82,21.53,24.77,1140.82,21.55,21.76,21.99,22.24,22.54,23.46,24.28,24.61,24.72,0.87
Prefill Throughput Per User (tokens/sec/user),3104.10,54.75,13170.15,155205.05,55.12,68.39,79.13,139.85,3078.84,3599.08,7325.00,9807.51,11762.96,2964.41
Request Latency (ms),23097.93,5222.38,45161.04,1154896.51,6971.47,11057.94,13588.66,18340.92,23131.65,28098.38,31583.65,33960.75,40061.81,7340.74
Time to First Output Token (ms),290.17,107.10,767.24,14508.58,107.11,108.70,112.87,154.29,225.82,372.49,558.23,663.73,720.35,175.68
Time to First Token (ms),290.17,107.10,767.24,14508.58,107.11,108.70,112.87,154.29,225.82,372.49,558.23,663.73,720.35,175.68
Time to Second Token (ms),43.41,37.67,49.28,2170.59,38.37,39.28,40.33,41.32,43.68,45.23,46.79,47.16,48.83,2.59
Tokens In Flight (tokens),1380.39,0.00,5004.00,,,,,,1122.75,,2991.25,3706.87,4748.00,1128.78

Metric,Value
Benchmark Duration (sec),1155.07
Input Token Throughput (tokens/sec),48.66
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),22.50
Request Count,50.00
Request Throughput (requests/sec),0.04
Total Input Sequence Length (tokens),56205.00
Total Output Sequence Length (tokens),25993.00
Total Output Tokens (tokens),25993.00
Total Token Throughput (tokens/sec),71.16
