Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),89.29,0.00,261.09,,,,,,98.35,,103.19,104.51,107.60,23.83
Active Decode Throughput Per User (tokens/sec/user),23.05,0.00,261.09,,,,,,24.68,,25.95,26.45,28.71,5.20
Active Prefill Throughput (tokens/sec),1364.17,35.82,3679.21,,,,,,1329.70,,2516.62,2705.70,2960.35,860.78
Active Prefill Throughput Per User (tokens/sec/user),1307.46,35.80,2869.84,,,,,,1268.81,,2468.65,2626.65,2775.92,836.21
Active Total Throughput (tokens/sec),293.08,27.76,3724.78,,,,,,93.94,,923.78,1931.49,2693.81,581.66
Credit-to-Start Latency (ms),1.10,0.50,3.23,219.02,0.56,0.63,0.71,0.85,0.97,1.29,1.59,1.66,3.07,0.41
Decode Duration (ms),5469.75,1065.89,10364.26,1093950.46,1907.03,2973.82,3628.94,4574.31,5434.66,6392.72,7334.05,8169.73,8862.07,1545.02
E2E Output Token Throughput (tokens/sec/user),22.63,21.06,27.01,4526.87,21.15,21.45,21.72,22.09,22.62,23.11,23.46,23.64,24.64,0.79
Effective Concurrency,3.97,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.26
Effective Decode Concurrency,3.81,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.47
Effective Decode Throughput (tokens/sec),89.24,0.00,261.09,,,,,,98.35,,103.19,104.51,107.60,23.91
Effective Decode Throughput Per User (tokens/sec/user),23.04,0.00,261.09,,,,,,24.68,,25.95,26.45,28.71,5.23
Effective Latency (CO-aware) (ms),5700.55,1208.28,10572.70,1140109.11,2116.97,3279.55,3852.20,4804.03,5711.97,6619.18,7590.55,8410.11,9048.16,1542.10
Effective Prefill Concurrency,0.16,0.00,4.00,,,,,,0.00,,1.00,1.00,1.00,0.40
Effective Prefill Throughput (tokens/sec),203.84,0.00,3679.21,,,,,,0.00,,853.30,1861.14,2626.65,589.26
Effective Prefill Throughput Per User (tokens/sec/user),195.36,0.00,2869.84,,,,,,0.00,,824.42,1736.47,2547.31,567.22
Effective Total Throughput (tokens/sec),293.08,0.00,3724.78,,,,,,93.94,,923.78,1931.49,2693.81,581.66
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,129.14,29.00,249.00,25828.00,48.99,72.00,85.00,107.75,129.00,148.25,172.10,193.05,210.31,35.86
HTTP Chunks Sent,1.00,1.00,1.00,200.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,1.59,1.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11
HTTP Connection Overhead (ms),0.01,0.00,2.31,2.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16
HTTP Connection Reused (ratio),0.99,0.00,1.00,199.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.07
HTTP Data Received (KB),32.95,7.67,63.16,6589.56,12.71,18.52,21.83,27.60,32.92,37.79,43.80,49.03,53.44,9.04
HTTP Data Sent (KB),1.55,0.15,5.84,310.71,0.16,0.16,0.17,0.22,1.15,2.34,3.61,4.36,5.19,1.37
HTTP DNS Lookup (ms),0.00,0.00,0.72,0.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05
HTTP Duration (excl. conn) (ms),5699.35,1207.28,10571.50,1139869.93,2115.34,3278.59,3851.37,4802.22,5710.83,6618.06,7589.53,8409.04,9047.26,1542.07
HTTP Receiving (ms),5469.76,1065.90,10364.28,1093951.43,1907.04,2973.84,3628.93,4574.31,5434.65,6392.72,7334.06,8169.73,8862.06,1545.02
HTTP Sending (ms),0.22,0.09,2.13,43.57,0.10,0.13,0.14,0.17,0.21,0.25,0.28,0.31,0.35,0.15
HTTP Total Time (ms),5699.36,1207.28,10571.50,1139872.24,2115.36,3278.59,3851.37,4802.22,5710.83,6618.06,7589.53,8409.04,9047.26,1542.05
HTTP Waiting (TTFB) (ms),229.37,136.78,514.25,45874.93,138.24,141.38,143.23,183.01,225.03,270.68,320.91,343.62,402.84,68.61
Input Sequence Length (tokens),292.67,5.00,1155.00,58533.00,6.00,7.00,9.00,14.00,207.50,454.75,709.50,838.95,1017.08,281.73
Inter Chunk Latency (ms),42.69,3.83,243.40,1093950.46,36.16,37.82,38.48,39.36,40.32,41.35,43.07,45.89,121.20,14.18
Inter Token Latency (ms),42.64,36.02,45.79,8528.20,38.06,40.53,41.08,41.95,42.60,43.50,44.45,45.06,45.48,1.42
