Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),70.67,0.00,304.43,,,,,,80.78,,86.61,87.37,90.12,19.51
Active Decode Throughput Per User (tokens/sec/user),27.90,0.00,304.43,,,,,,27.56,,29.64,30.55,32.06,6.63
Active Prefill Throughput (tokens/sec),211.96,65.25,243.71,,,,,,243.71,,243.71,243.71,243.71,52.52
Active Prefill Throughput Per User (tokens/sec/user),76.27,62.55,118.62,,,,,,81.24,,81.24,81.24,81.24,8.32
Active Total Throughput (tokens/sec),75.43,27.97,243.71,,,,,,83.29,,83.29,83.29,243.71,31.72
Credit-to-Start Latency (ms),1.48,1.30,1.67,4.43,1.30,1.32,1.33,1.38,1.47,1.57,1.63,1.65,1.66,0.15
Decode Duration (ms),5133.63,3955.74,6007.41,15400.90,3985.38,4103.94,4252.14,4696.75,5437.75,5722.58,5893.48,5950.44,5996.02,864.75
E2E Output Token Throughput (tokens/sec/user),27.08,26.89,27.30,81.23,26.89,26.91,26.92,26.96,27.04,27.17,27.24,27.27,27.29,0.17
Effective Concurrency,2.57,0.00,3.00,,,,,,3.00,,3.00,3.00,3.00,0.66
Effective Decode Concurrency,2.49,0.00,3.00,,,,,,3.00,,3.00,3.00,3.00,0.76
Effective Decode Throughput (tokens/sec),69.08,0.00,304.43,,,,,,80.66,,86.52,87.27,90.12,21.95
Effective Decode Throughput Per User (tokens/sec/user),27.28,0.00,304.43,,,,,,27.54,,29.64,30.55,32.06,7.75
Effective Latency (CO-aware) (ms),5302.65,4091.93,6192.90,15907.95,4122.55,4245.05,4398.17,4857.52,5623.12,5908.01,6078.95,6135.92,6181.51,887.15
Effective Prefill Concurrency,0.08,0.00,3.00,,,,,,0.00,,0.00,0.00,3.00,0.47
Effective Prefill Throughput (tokens/sec),6.29,0.00,243.71,,,,,,0.00,,0.00,0.00,243.71,37.10
Effective Prefill Throughput Per User (tokens/sec/user),2.26,0.00,118.62,,,,,,0.00,,0.00,0.00,81.24,13.03
Effective Total Throughput (tokens/sec),75.37,0.00,243.71,,,,,,83.29,,83.29,83.29,243.71,31.77
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,143.67,110.00,169.00,431.00,110.84,114.20,118.40,131.00,152.00,160.50,165.60,167.30,168.66,24.80
HTTP Chunks Sent,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),1.04,0.89,1.13,3.13,0.90,0.91,0.94,1.00,1.12,1.12,1.12,1.12,1.13,0.11
HTTP Connection Overhead (ms),1.49,1.31,1.60,4.48,1.32,1.34,1.37,1.44,1.57,1.59,1.59,1.60,1.60,0.13
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),36.61,28.12,43.00,109.82,28.33,29.17,30.23,33.41,38.71,40.85,42.14,42.57,42.91,6.26
HTTP Data Sent (KB),0.23,0.21,0.25,0.68,0.21,0.21,0.21,0.22,0.22,0.24,0.25,0.25,0.25,0.02
HTTP DNS Lookup (ms),0.45,0.42,0.47,1.35,0.42,0.43,0.43,0.44,0.46,0.46,0.47,0.47,0.47,0.02
HTTP Duration (excl. conn) (ms),5300.90,4090.44,6190.87,15902.71,4121.06,4243.54,4396.63,4855.92,5621.40,5906.13,6076.97,6133.92,6179.48,886.94
HTTP Receiving (ms),5133.72,3955.84,6007.49,15401.15,3985.48,4104.04,4252.23,4696.83,5437.82,5722.66,5893.56,5950.52,5996.10,864.75
HTTP Sending (ms),1.50,1.26,1.63,4.51,1.27,1.30,1.33,1.44,1.62,1.63,1.63,1.63,1.63,0.17
HTTP Total Time (ms),5302.40,4091.75,6192.44,15907.19,4122.38,4244.88,4398.00,4857.38,5623.00,5907.72,6078.55,6135.49,6181.05,887.06
HTTP Waiting (TTFB) (ms),165.68,133.34,181.94,497.04,134.31,138.18,143.03,157.55,181.75,181.85,181.90,181.92,181.94,22.86
Input Sequence Length (tokens),13.00,11.00,16.00,39.00,11.02,11.10,11.20,11.50,12.00,14.00,15.20,15.60,15.92,2.16
Inter Chunk Latency (ms),35.98,3.28,48.95,15400.90,31.41,32.75,33.75,34.95,36.24,37.11,37.81,39.07,41.01,2.46
Inter Token Latency (ms),36.02,35.76,36.29,108.06,35.76,35.78,35.81,35.88,36.01,36.15,36.24,36.26,36.29,0.22
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),143.67,110.00,169.00,431.00,110.84,114.20,118.40,131.00,152.00,160.50,165.60,167.30,168.66,24.80
Output Token Throughput Per User (tokens/sec/user),27.76,27.55,27.97,83.29,27.56,27.58,27.60,27.66,27.77,27.87,27.93,27.95,27.96,0.17
Prefill Throughput Per User (tokens/sec/user),81.24,59.84,118.62,243.71,59.95,60.38,60.92,62.55,65.25,91.93,107.94,113.28,117.55,26.52
Reasoning Token Count (tokens),143.67,110.00,169.00,431.00,110.84,114.20,118.40,131.00,152.00,160.50,165.60,167.30,168.66,24.80
Request Latency (ms),5301.17,4090.63,6191.24,15903.52,4121.25,4243.73,4396.84,4856.14,5621.65,5906.44,6077.32,6134.28,6179.85,887.00
Time to First Token (ms),167.54,134.89,183.90,502.62,135.87,139.78,144.68,159.36,183.83,183.86,183.89,183.89,183.90,23.09
Time to Second Token (ms),39.82,35.24,48.95,119.45,35.24,35.25,35.25,35.25,35.25,42.10,46.21,47.58,48.67,6.46
Tokens In Flight (tokens),216.51,0.00,367.00,,,,,,238.00,,322.00,340.00,361.00,89.42

Metric,Value
Benchmark Duration (sec),6.19
Input Token Throughput (tokens/sec),6.29
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),69.56
Request Count,3.00
Request Throughput (requests/sec),0.48
Total Input Sequence Length (tokens),39.00
Total Output Sequence Length (tokens),431.00
Total Reasoning Tokens (tokens),431.00
Total Token Throughput (tokens/sec),75.86
