Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),47.49,0.00,235.10,,,,,,32.18,,76.00,77.06,80.24,21.00
Active Decode Throughput Per User (tokens/sec/user),28.56,0.00,235.10,,,,,,29.17,,31.83,32.29,33.80,6.37
Active Prefill Throughput (tokens/sec),205.19,90.09,228.33,,,,,,228.33,,228.33,228.33,228.33,37.36
Active Prefill Throughput Per User (tokens/sec/user),75.18,72.64,90.09,,,,,,76.11,,76.11,76.11,76.11,1.69
Active Total Throughput (tokens/sec),53.12,28.66,228.33,,,,,,28.66,,78.90,78.90,228.33,37.37
Credit-to-Start Latency (ms),1.11,0.99,1.24,3.33,0.99,1.00,1.01,1.05,1.10,1.17,1.21,1.22,1.23,0.10
Decode Duration (ms),3452.67,1918.32,5861.58,10358.00,1931.52,1984.30,2050.28,2248.21,2578.09,4219.84,5204.88,5533.23,5795.91,1724.53
E2E Output Token Throughput (tokens/sec/user),25.09,23.14,27.88,75.26,23.16,23.25,23.36,23.69,24.24,26.06,27.15,27.52,27.81,2.03
Effective Concurrency,1.80,0.00,3.00,,,,,,1.00,,3.00,3.00,3.00,0.93
Effective Decode Concurrency,1.71,0.00,3.00,,,,,,1.00,,3.00,3.00,3.00,0.94
Effective Decode Throughput (tokens/sec),46.34,0.00,235.10,,,,,,32.03,,76.00,77.06,80.24,22.00
Effective Decode Throughput Per User (tokens/sec/user),27.87,0.00,235.10,,,,,,28.95,,31.83,32.29,33.80,7.68
Effective Latency (CO-aware) (ms),3634.98,2118.88,6062.38,10904.94,2130.97,2179.36,2239.84,2421.28,2723.68,4393.03,5394.64,5728.51,5995.61,1734.10
Effective Prefill Concurrency,0.09,0.00,3.00,,,,,,0.00,,0.00,0.00,3.00,0.49
Effective Prefill Throughput (tokens/sec),6.76,0.00,228.33,,,,,,0.00,,0.00,0.00,228.33,37.25
Effective Prefill Throughput Per User (tokens/sec/user),2.48,0.00,90.09,,,,,,0.00,,0.00,0.00,76.11,13.42
Effective Total Throughput (tokens/sec),53.10,0.00,228.33,,,,,,28.66,,78.90,78.90,228.33,37.37
