Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),91.40,0.00,248.27,,,,,,96.53,,100.76,102.05,105.04,17.90
Active Decode Throughput Per User (tokens/sec/user),23.51,0.00,248.27,,,,,,24.23,,25.43,26.20,29.34,3.96
Active Prefill Throughput (tokens/sec),138.40,2.05,362.35,,,,,,126.65,,259.38,293.04,322.44,88.60
Active Prefill Throughput Per User (tokens/sec/user),35.73,0.51,89.18,,,,,,32.98,,65.08,70.88,80.61,22.94
Active Total Throughput (tokens/sec),222.32,25.77,431.55,,,,,,218.88,,351.57,357.42,415.01,92.70
Credit-to-Start Latency (ms),1.94,0.87,5.17,116.30,0.88,0.93,1.07,1.28,1.76,2.27,2.59,4.65,5.03,1.01
Decode Duration (ms),21933.20,10738.28,42550.47,1315991.76,10874.92,13260.13,15484.98,17929.09,21384.76,25577.85,27628.88,30272.62,41593.31,5983.28
E2E Output Token Throughput (tokens/sec/user),12.37,7.53,24.27,741.95,7.76,8.11,8.85,10.30,11.61,13.34,14.88,24.16,24.23,3.72
Effective Concurrency,7.61,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,1.31
Effective Decode Concurrency,3.87,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.45
Effective Decode Throughput (tokens/sec),91.35,0.00,248.27,,,,,,96.53,,100.76,102.05,105.04,18.01
Effective Decode Throughput Per User (tokens/sec/user),23.50,0.00,248.27,,,,,,24.23,,25.43,26.20,29.34,3.99
Effective Latency (CO-aware) (ms),43113.91,16110.30,67028.60,2586834.90,18890.02,26235.70,32596.79,38789.59,44882.56,47778.83,53168.55,54367.13,65806.46,9330.89
Effective Prefill Concurrency,3.74,0.00,8.00,,,,,,4.00,,4.00,4.00,5.00,1.00
Effective Prefill Throughput (tokens/sec),130.96,0.00,362.35,,,,,,124.99,,259.38,276.05,322.44,91.66
Effective Prefill Throughput Per User (tokens/sec/user),33.81,0.00,89.18,,,,,,31.66,,65.08,67.87,80.61,23.72
Effective Total Throughput (tokens/sec),222.31,0.00,431.55,,,,,,218.88,,351.57,357.42,415.01,92.70
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,517.33,246.00,995.00,31040.00,255.44,301.55,356.20,420.00,508.50,608.00,661.10,713.00,973.76,140.85
HTTP Chunks Sent,1.00,1.00,1.00,60.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.10,0.00,1.31,6.08,0.00,0.00,0.00,0.00,0.00,0.00,0.45,0.85,1.25,0.30
HTTP Connection Overhead (ms),0.14,0.00,1.78,8.30,0.00,0.00,0.00,0.00,0.00,0.00,0.45,1.26,1.77,0.41
HTTP Connection Reused (ratio),0.88,0.00,1.00,53.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.32
HTTP Data Received (KB),130.71,62.54,250.81,7842.45,64.83,76.44,90.24,106.24,128.30,153.49,166.74,180.34,245.14,35.40
HTTP Data Sent (KB),3.10,0.15,11.63,185.85,0.15,0.15,0.16,0.18,2.24,5.04,7.36,9.46,11.34,3.03
HTTP DNS Lookup (ms),0.04,0.00,0.58,2.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.41,0.50,0.12
HTTP Duration (excl. conn) (ms),43111.87,16108.94,67027.38,2586712.32,18887.98,26234.69,32594.19,38787.38,44880.12,47776.62,53166.41,54364.68,65804.57,9330.82
HTTP Receiving (ms),21933.21,10738.30,42550.49,1315992.40,10874.93,13260.14,15484.98,17929.09,21384.76,25577.85,27628.87,30272.62,41593.31,5983.28
HTTP Sending (ms),0.35,0.10,1.86,20.75,0.11,0.13,0.14,0.16,0.23,0.30,0.62,1.31,1.72,0.37
HTTP Total Time (ms),43112.01,16110.14,67027.38,2586720.62,18888.48,26235.13,32594.19,38787.38,44880.12,47776.62,53166.41,54364.68,65804.57,9330.77
HTTP Waiting (TTFB) (ms),21178.32,148.19,36948.40,1270699.17,179.60,202.18,15298.61,19411.42,22127.23,24628.39,27816.54,29448.07,36065.37,7195.41
Input Sequence Length (tokens),741.68,7.00,2989.00,44501.00,7.00,8.00,9.00,14.00,566.00,1220.00,1743.90,2272.45,2809.05,761.41
Inter Chunk Latency (ms),42.48,4.03,371.79,1315991.76,34.89,38.72,39.49,40.36,41.23,42.31,43.97,45.36,68.04,13.25
Inter Token Latency (ms),42.43,37.13,45.53,2545.58,38.12,40.98,41.37,42.00,42.42,43.01,43.71,44.15,45.28,1.24
OSL Mismatch Diff % (%),-0.00,-0.10,0.00,-0.10,-0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
Output Sequence Length (tokens),518.38,246.00,995.00,31103.00,255.44,301.55,358.00,420.00,508.50,608.00,661.10,713.50,974.35,141.00
Output Token Count (tokens),38.00,38.00,38.00,38.00,38.00,38.00,38.00,38.00,38.00,38.00,38.00,38.00,38.00,0.00
Output Token Throughput Per User (tokens/sec/user),23.59,21.96,26.93,1415.48,22.09,22.65,22.88,23.25,23.57,23.81,24.17,24.40,26.25,0.72
Prefill Throughput Per User (tokens/sec/user),38.28,0.31,122.11,2296.63,0.31,0.39,0.42,0.76,32.58,60.64,89.95,100.12,114.20,33.59
Reasoning Token Count (tokens),517.75,246.00,995.00,31065.00,255.44,301.55,358.00,420.00,508.50,608.00,661.10,713.50,951.93,139.08
Request Latency (ms),43111.98,16109.15,67027.44,2586718.60,18888.13,26234.77,32594.30,38787.45,44880.21,47776.73,53166.49,54364.78,65804.65,9330.82
Time to First Output Token (ms),63414.43,63414.43,63414.43,63414.43,63414.43,63414.43,63414.43,63414.43,63414.43,63414.43,63414.43,63414.43,63414.43,0.00
Time to First Token (ms),21178.78,148.86,36948.76,1270726.84,180.04,203.13,15298.84,19411.67,22127.45,24628.79,27816.93,29448.34,36065.66,7195.32
Time to Second Token (ms),41.74,33.08,54.21,2504.20,33.13,37.54,39.24,40.38,41.77,42.61,44.58,47.66,50.85,3.26
Tokens In Flight (tokens),7020.73,0.00,12110.38,,,,,,7212.56,,10714.72,11181.24,11796.10,2847.50

Metric,Value
Benchmark Duration (sec),339.80
Input Token Throughput (tokens/sec),130.96
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),91.53
Request Count,60.00
Request Throughput (requests/sec),0.18
Total Input Sequence Length (tokens),44501.00
Total Output Sequence Length (tokens),31103.00
Total Output Tokens (tokens),38.00
Total Reasoning Tokens (tokens),31065.00
Total Token Throughput (tokens/sec),222.49
