Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),27.84,0.00,345.60,,,,,,27.64,,30.12,31.14,32.68,3.47
Active Decode Throughput Per User (tokens/sec/user),27.84,0.00,345.60,,,,,,27.64,,30.12,31.14,32.68,3.47
Active Prefill Throughput (tokens/sec),3261.13,58.65,9944.71,,,,,,2941.47,,6040.69,8110.24,9944.71,2159.04
Active Prefill Throughput Per User (tokens/sec/user),3261.13,58.65,9944.71,,,,,,2941.47,,6040.69,8110.24,9944.71,2159.04
Active Total Throughput (tokens/sec),79.53,26.09,9944.71,,,,,,27.75,,29.33,30.12,2815.77,488.84
Credit-to-Start Latency (ms),1.49,0.62,2.80,89.21,0.63,0.71,0.76,0.96,1.43,1.99,2.38,2.51,2.70,0.59
Decode Duration (ms),18805.55,4262.89,35076.84,1128332.89,6112.71,9389.08,11813.16,15481.27,18743.93,22769.27,26456.90,28518.29,34292.78,6023.82
E2E Output Token Throughput (tokens/sec/user),27.40,22.54,31.80,1644.18,23.70,26.05,26.25,26.47,27.20,28.05,29.28,29.79,30.96,1.44
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.01
Effective Decode Concurrency,0.98,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.13
Effective Decode Throughput (tokens/sec),27.39,0.00,345.60,,,,,,27.60,,30.10,31.12,32.66,4.92
Effective Decode Throughput Per User (tokens/sec/user),27.39,0.00,345.60,,,,,,27.60,,30.10,31.12,32.66,4.92
Effective Latency (CO-aware) (ms),19113.19,5061.14,35182.16,1146791.60,6582.62,9583.29,12035.23,15719.65,19076.80,22998.40,26816.38,28883.04,34474.91,6005.41
Effective Prefill Concurrency,0.02,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.13
Effective Prefill Throughput (tokens/sec),52.12,0.00,9944.71,,,,,,0.00,,0.00,0.00,2815.77,491.70
Effective Prefill Throughput Per User (tokens/sec/user),52.12,0.00,9944.71,,,,,,0.00,,0.00,0.00,2815.77,491.70
Effective Total Throughput (tokens/sec),79.52,0.00,9944.71,,,,,,27.75,,29.33,30.12,2815.77,488.80
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,524.12,114.00,995.00,31447.00,161.79,261.20,332.60,416.75,510.00,630.75,712.30,780.40,974.35,166.74
HTTP Chunks Sent,1.00,1.00,1.00,60.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,60.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),132.55,29.14,251.44,7952.73,41.21,66.34,84.33,105.40,129.00,159.16,180.13,197.12,246.17,42.04
