Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),28.14,0.00,253.15,,,,,,28.12,,30.62,31.44,32.32,3.79
Active Decode Throughput Per User (tokens/sec/user),28.14,0.00,253.15,,,,,,28.12,,30.62,31.44,32.32,3.79
Active Prefill Throughput (tokens/sec),1331.60,110.14,2193.67,,,,,,2193.67,,2193.67,2193.67,2193.67,1015.84
Active Prefill Throughput Per User (tokens/sec/user),1331.60,110.14,2193.67,,,,,,2193.67,,2193.67,2193.67,2193.67,1015.84
Active Total Throughput (tokens/sec),41.78,27.17,2193.67,,,,,,28.76,,29.18,29.18,110.14,168.53
Credit-to-Start Latency (ms),2.15,1.21,3.81,6.45,1.21,1.23,1.25,1.32,1.44,2.62,3.33,3.57,3.76,1.17
Decode Duration (ms),17297.38,10188.84,24841.66,51892.13,10322.29,10856.12,11523.40,13525.24,16861.64,20851.65,23245.65,24043.65,24682.05,5989.92
E2E Output Token Throughput (tokens/sec/user),28.04,27.08,29.05,84.11,27.10,27.17,27.26,27.53,27.98,28.51,28.83,28.94,29.02,0.80
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.02
Effective Decode Concurrency,0.99,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.10
Effective Decode Throughput (tokens/sec),27.83,0.00,253.15,,,,,,28.09,,30.61,31.43,32.32,4.75
Effective Decode Throughput Per User (tokens/sec/user),27.83,0.00,253.15,,,,,,28.09,,30.61,31.43,32.32,4.75
Effective Latency (CO-aware) (ms),17482.51,10511.74,24961.12,52447.54,10641.00,11158.04,11804.33,13743.21,16974.68,20967.90,23363.83,24162.48,24801.39,5909.85
Effective Prefill Concurrency,0.01,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.10
Effective Prefill Throughput (tokens/sec),13.94,0.00,2193.67,,,,,,0.00,,0.00,0.00,110.14,170.77
Effective Prefill Throughput Per User (tokens/sec/user),13.94,0.00,2193.67,,,,,,0.00,,0.00,0.00,110.14,170.77
Effective Total Throughput (tokens/sec),41.77,0.00,2193.67,,,,,,28.76,,29.18,29.18,110.14,168.51
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,486.00,294.00,672.00,1458.00,297.96,313.80,333.60,393.00,492.00,582.00,636.00,654.00,668.40,154.38
HTTP Chunks Sent,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.33,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.50,0.80,0.90,0.98,0.47
HTTP Connection Overhead (ms),0.49,0.00,1.47,1.47,0.00,0.00,0.00,0.00,0.00,0.74,1.18,1.33,1.45,0.70
HTTP Connection Reused (ratio),0.67,0.00,1.00,2.00,0.02,0.10,0.20,0.50,1.00,1.00,1.00,1.00,1.00,0.47
HTTP Data Received (KB),122.93,74.51,169.85,368.78,75.51,79.50,84.49,99.46,124.42,147.14,160.77,165.31,168.95,38.94
HTTP Data Sent (KB),1.18,0.20,3.11,3.54,0.20,0.20,0.21,0.21,0.23,1.67,2.53,2.82,3.05,1.36
HTTP DNS Lookup (ms),0.16,0.00,0.47,0.47,0.00,0.00,0.00,0.00,0.00,0.24,0.38,0.43,0.46,0.22
HTTP Duration (excl. conn) (ms),17480.25,10507.86,24959.51,52440.75,10637.17,11154.41,11800.96,13740.62,16973.38,20966.45,23362.28,24160.90,24799.79,5910.74
HTTP Receiving (ms),17297.41,10188.84,24841.71,51892.22,10322.30,10856.12,11523.41,13525.26,16861.67,20851.69,23245.70,24043.71,24682.11,5989.94
HTTP Sending (ms),0.60,0.17,1.41,1.80,0.17,0.17,0.18,0.20,0.22,0.81,1.17,1.29,1.38,0.57
HTTP Total Time (ms),17480.74,10507.86,24960.98,52442.22,10637.17,11154.41,11800.96,13740.62,16973.38,20967.18,23363.46,24162.22,24801.23,5911.36
HTTP Waiting (TTFB) (ms),182.24,111.54,318.79,546.73,111.64,112.03,112.51,113.97,116.39,217.59,278.31,298.55,314.74,96.58
Input Sequence Length (tokens),243.67,13.00,700.00,731.00,13.10,13.50,14.00,15.50,18.00,359.00,563.60,631.80,686.36,322.68
Inter Chunk Latency (ms),35.66,3.95,117.30,51892.13,30.89,31.75,32.64,34.12,35.44,37.37,38.68,39.18,40.10,4.00
Inter Token Latency (ms),35.28,34.27,36.80,105.85,34.28,34.32,34.37,34.52,34.77,35.79,36.40,36.60,36.76,1.09
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),487.67,294.00,676.00,1463.00,297.98,313.90,333.80,393.50,493.00,584.50,639.40,657.70,672.34,156.00
Output Token Throughput Per User (tokens/sec/user),28.37,27.17,29.18,85.11,27.20,27.33,27.49,27.96,28.76,28.97,29.09,29.14,29.17,0.86
Prefill Throughput Per User (tokens/sec/user),821.59,110.14,2193.67,2464.77,111.16,115.22,120.30,135.55,160.96,1177.31,1787.13,1990.40,2153.02,970.43
Reasoning Token Count (tokens),487.67,294.00,676.00,1463.00,297.98,313.90,333.80,393.50,493.00,584.50,639.40,657.70,672.34,156.00
Request Latency (ms),17480.36,10507.94,24959.69,52441.09,10637.25,11154.49,11801.04,13740.70,16973.47,20966.58,23362.44,24161.06,24799.96,5910.78
Time to First Token (ms),182.99,111.83,319.10,548.96,111.96,112.45,113.07,114.93,118.03,218.57,278.89,298.99,315.08,96.28
Time to Second Token (ms),36.49,34.21,39.82,109.47,34.24,34.34,34.46,34.83,35.44,37.63,38.94,39.38,39.73,2.41
Tokens In Flight (tokens),421.50,0.00,994.00,,,,,,383.74,,843.00,919.00,978.00,268.55

Metric,Value
Benchmark Duration (sec),52.45
Input Token Throughput (tokens/sec),13.94
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),27.89
Request Count,3.00
Request Throughput (requests/sec),0.06
Total Input Sequence Length (tokens),731.00
Total Output Sequence Length (tokens),1463.00
Total Reasoning Tokens (tokens),1463.00
Total Token Throughput (tokens/sec),41.83
