Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),25.52,0.00,40.05,,,,,,28.99,,29.44,29.58,29.67,5.93
Active Decode Throughput Per User (tokens/sec/user),9.73,0.00,18.12,,,,,,9.76,,9.91,10.04,10.24,0.23
Active Prefill Throughput (tokens/sec),48.76,13.75,48.77,,,,,,48.77,,48.77,48.77,48.77,0.80
Active Prefill Throughput Per User (tokens/sec/user),16.26,13.75,17.51,,,,,,16.26,,16.26,16.26,16.26,0.06
Active Total Throughput (tokens/sec),26.60,9.02,48.77,,,,,,29.21,,29.21,29.21,48.77,7.61
Credit-to-Start Latency (ms),1.53,1.37,1.62,4.60,1.38,1.39,1.42,1.49,1.61,1.61,1.62,1.62,1.62,0.12
Decode Duration (ms),14328.02,11242.44,16416.68,42984.05,11324.09,11650.69,12058.94,13283.69,15324.93,15870.81,16198.33,16307.50,16394.84,2226.89
E2E Output Token Throughput (tokens/sec/user),9.28,8.65,10.29,27.83,8.66,8.68,8.70,8.77,8.89,9.59,10.01,10.15,10.27,0.72
Effective Concurrency,2.64,0.00,3.00,,,,,,3.00,,3.00,3.00,3.00,0.60
Effective Decode Concurrency,2.50,0.00,3.00,,,,,,3.00,,3.00,3.00,3.00,0.81
Effective Decode Throughput (tokens/sec),24.33,0.00,40.05,,,,,,28.92,,29.44,29.58,29.67,7.91
Effective Decode Throughput Per User (tokens/sec/user),9.28,0.00,18.12,,,,,,9.75,,9.91,10.04,10.24,2.07
Effective Latency (CO-aware) (ms),15129.17,12043.50,17217.81,45387.52,12125.15,12451.77,12860.04,14084.86,16126.21,16672.01,16999.49,17108.65,17195.98,2226.95
Effective Prefill Concurrency,0.14,0.00,3.00,,,,,,0.00,,0.00,0.00,3.00,0.63
Effective Prefill Throughput (tokens/sec),2.26,0.00,48.77,,,,,,0.00,,0.00,0.00,48.77,10.26
Effective Prefill Throughput Per User (tokens/sec/user),0.76,0.00,17.51,,,,,,0.00,,0.00,0.00,16.26,3.42
Effective Total Throughput (tokens/sec),26.60,0.00,48.77,,,,,,29.21,,29.21,29.21,48.77,7.62
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,54.33,43.00,62.00,163.00,43.30,44.50,46.00,50.50,58.00,60.00,61.20,61.60,61.92,8.18
HTTP Chunks Sent,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),1.23,0.94,1.44,3.68,0.95,0.98,1.01,1.12,1.30,1.37,1.41,1.43,1.44,0.21
HTTP Connection Overhead (ms),1.73,1.35,2.13,5.20,1.36,1.39,1.43,1.54,1.72,1.92,2.05,2.09,2.12,0.32
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),14.62,11.61,16.54,43.87,11.69,12.02,12.43,13.66,15.71,16.13,16.38,16.46,16.52,2.16
HTTP Data Sent (KB),0.23,0.22,0.26,0.70,0.22,0.22,0.22,0.22,0.22,0.24,0.25,0.25,0.26,0.02
HTTP DNS Lookup (ms),0.51,0.41,0.69,1.52,0.41,0.41,0.41,0.41,0.42,0.55,0.64,0.67,0.69,0.13
HTTP Duration (excl. conn) (ms),15127.38,12041.61,17215.90,45382.14,12123.27,12449.91,12858.22,14083.12,16124.62,16670.26,16997.65,17106.78,17194.08,2226.98
HTTP Receiving (ms),14607.95,11508.99,16683.41,43823.85,11591.44,11921.24,12333.48,13570.22,15631.46,16157.43,16473.02,16578.21,16662.37,2232.98
HTTP Sending (ms),1.79,1.37,2.03,5.36,1.38,1.43,1.49,1.66,1.95,1.99,2.02,2.03,2.03,0.29
HTTP Total Time (ms),15129.11,12043.33,17218.04,45387.34,12124.98,12451.60,12859.86,14084.65,16125.97,16672.01,16999.62,17108.83,17196.19,2227.06
HTTP Waiting (TTFB) (ms),517.64,491.79,530.67,1552.93,492.57,495.66,499.53,511.13,530.47,530.57,530.63,530.65,530.67,18.28
Input Sequence Length (tokens),13.00,11.00,16.00,39.00,11.02,11.10,11.20,11.50,12.00,14.00,15.20,15.60,15.92,2.16
Inter Chunk Latency (ms),273.78,264.34,277.97,42984.05,266.70,269.57,269.89,272.11,273.77,275.72,277.26,277.76,277.90,2.66
Inter Token Latency (ms),103.29,92.88,110.92,309.86,93.14,94.20,95.51,99.47,106.06,108.49,109.95,110.44,110.83,7.62
OSL Mismatch Diff % (%),-2.16,-2.73,-1.78,-6.48,-2.71,-2.65,-2.58,-2.35,-1.97,-1.87,-1.81,-1.80,-1.78,0.41
Output Sequence Length (tokens),140.67,107.00,166.00,422.00,107.84,111.20,115.40,128.00,149.00,157.50,162.60,164.30,165.66,24.80
Output Token Throughput Per User (tokens/sec/user),9.74,9.02,10.77,29.21,9.02,9.06,9.10,9.22,9.43,10.10,10.50,10.63,10.74,0.75
Prefill Throughput Per User (tokens/sec/user),16.26,13.75,20.01,48.77,13.78,13.88,14.00,14.38,15.01,17.51,19.01,19.51,19.91,2.70
Reasoning Token Count (tokens),140.67,107.00,166.00,422.00,107.84,111.20,115.40,128.00,149.00,157.50,162.60,164.30,165.66,24.80
Request Latency (ms),15127.64,12041.89,17216.20,45382.92,12123.54,12450.18,12858.48,14083.36,16124.84,16670.52,16997.93,17107.06,17194.37,2226.98
Time to First Token (ms),799.62,799.45,799.91,2398.87,799.45,799.45,799.46,799.48,799.52,799.71,799.83,799.87,799.90,0.20
Time to Second Token (ms),276.58,276.54,276.63,829.75,276.54,276.54,276.55,276.56,276.57,276.60,276.62,276.63,276.63,0.04
Tokens In Flight (tokens),211.02,0.00,369.94,,,,,,233.96,,321.95,337.94,361.94,94.40

Metric,Value
Benchmark Duration (sec),17.22
Input Token Throughput (tokens/sec),2.26
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),24.51
Request Count,3.00
Request Throughput (requests/sec),0.17
Total Input Sequence Length (tokens),39.00
Total Output Sequence Length (tokens),422.00
Total Reasoning Tokens (tokens),422.00
Total Token Throughput (tokens/sec),26.77
