Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),19.09,0.00,35.37,,,,,,21.68,,22.10,22.16,25.36,5.53
Active Decode Throughput Per User (tokens/sec/user),10.31,0.00,17.68,,,,,,10.84,,11.05,11.08,12.68,1.34
Active Prefill Throughput (tokens/sec),67.80,21.25,76.35,,,,,,76.35,,76.35,76.35,76.35,11.86
Active Prefill Throughput Per User (tokens/sec/user),59.02,21.25,76.35,,,,,,76.35,,76.35,76.35,76.35,24.03
Active Total Throughput (tokens/sec),24.09,8.40,84.74,,,,,,21.62,,21.74,84.74,84.74,16.01
Credit-to-Start Latency (ms),1.50,0.99,1.86,4.51,1.00,1.06,1.12,1.33,1.66,1.76,1.82,1.84,1.86,0.37
Decode Duration (ms),11829.63,4645.77,19648.28,35488.88,4776.75,5300.67,5955.58,7920.30,11194.83,15421.56,17957.59,18802.94,19479.22,6141.18
E2E Output Token Throughput (tokens/sec/user),10.81,8.21,12.13,32.44,8.29,8.60,8.99,10.15,12.09,12.11,12.12,12.13,12.13,1.84
Effective Concurrency,1.86,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.34
Effective Decode Concurrency,1.76,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.49
Effective Decode Throughput (tokens/sec),18.55,0.00,35.37,,,,,,21.67,,22.10,22.16,25.36,6.30
Effective Decode Throughput Per User (tokens/sec/user),10.02,0.00,17.68,,,,,,10.83,,11.05,11.08,12.68,2.16
Effective Latency (CO-aware) (ms),12569.96,5212.13,20214.80,37709.89,5353.54,5919.21,6626.29,8747.54,12282.96,16248.88,18628.43,19421.62,20056.17,6128.18
Effective Prefill Concurrency,0.11,0.00,2.00,,,,,,0.00,,0.00,1.00,2.00,0.39
Effective Prefill Throughput (tokens/sec),5.54,0.00,76.35,,,,,,0.00,,0.00,76.35,76.35,18.88
Effective Prefill Throughput Per User (tokens/sec/user),4.82,0.00,76.35,,,,,,0.00,,0.00,76.35,76.35,17.57
Effective Total Throughput (tokens/sec),24.09,0.00,84.74,,,,,,21.62,,21.74,84.74,84.74,16.02
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,45.00,19.00,73.00,135.00,19.48,21.40,23.80,31.00,43.00,58.00,67.00,70.00,72.40,22.09
HTTP Chunks Sent,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.91,0.00,1.49,2.74,0.02,0.12,0.25,0.62,1.25,1.37,1.44,1.46,1.48,0.65
HTTP Connection Overhead (ms),1.29,0.00,2.15,3.88,0.03,0.17,0.35,0.86,1.73,1.94,2.07,2.11,2.14,0.93
HTTP Connection Reused (ratio),0.33,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.50,0.80,0.90,0.98,0.47
HTTP Data Received (KB),12.10,5.29,19.50,36.30,5.41,5.91,6.53,8.40,11.51,15.51,17.90,18.70,19.34,5.82
HTTP Data Sent (KB),0.33,0.20,0.54,0.98,0.20,0.20,0.21,0.22,0.24,0.39,0.48,0.51,0.53,0.15
HTTP DNS Lookup (ms),0.38,0.00,0.66,1.14,0.01,0.05,0.10,0.24,0.48,0.57,0.63,0.65,0.66,0.28
HTTP Duration (excl. conn) (ms),12568.24,5210.21,20212.69,37704.71,5351.64,5917.37,6624.53,8746.01,12281.82,16247.25,18626.51,19419.60,20054.07,6128.08
HTTP Receiving (ms),12098.82,4913.85,19916.38,36296.45,5044.90,5569.09,6224.33,8190.03,11466.21,15691.30,18226.35,19071.37,19747.38,6141.07
HTTP Sending (ms),1.43,0.43,2.05,4.28,0.46,0.57,0.70,1.12,1.80,1.92,2.00,2.02,2.04,0.71
HTTP Total Time (ms),12569.53,5212.36,20214.42,37708.59,5353.75,5919.30,6626.25,8747.09,12281.82,16248.12,18627.90,19421.16,20055.76,6127.94
HTTP Waiting (TTFB) (ms),467.99,294.31,815.17,1403.98,294.31,294.32,294.34,294.40,294.50,554.84,711.04,763.11,804.76,245.49
Input Sequence Length (tokens),37.33,12.00,83.00,112.00,12.10,12.50,13.00,14.50,17.00,50.00,69.80,76.40,81.68,32.36
Inter Chunk Latency (ms),275.11,233.96,506.35,35488.88,243.16,268.43,269.14,270.63,273.38,275.30,276.63,277.46,315.30,22.10
Inter Token Latency (ms),89.88,74.93,119.08,269.65,74.95,75.00,75.07,75.29,75.64,97.36,110.39,114.74,118.21,20.65
OSL Mismatch Diff % (%),-2.76,-4.55,-1.78,-8.29,-4.49,-4.29,-4.03,-3.26,-1.97,-1.87,-1.81,-1.80,-1.78,1.26
Output Sequence Length (tokens),126.00,63.00,166.00,378.00,64.72,71.60,80.20,106.00,149.00,157.50,162.60,164.30,165.66,45.09
Output Token Throughput Per User (tokens/sec/user),11.65,8.40,13.35,34.96,8.49,8.88,9.36,10.81,13.22,13.28,13.32,13.33,13.34,2.30
Prefill Throughput Per User (tokens/sec/user),42.57,21.25,76.35,127.70,21.43,22.14,23.02,25.68,30.11,53.23,67.10,71.72,75.42,24.16
Reasoning Token Count (tokens),126.00,63.00,166.00,378.00,64.72,71.60,80.20,106.00,149.00,157.50,162.60,164.30,165.66,45.09
Request Latency (ms),12568.46,5210.46,20212.94,37705.38,5351.89,5917.61,6624.76,8746.22,12281.97,16247.46,18626.75,19419.85,20054.32,6128.09
Time to First Token (ms),738.83,564.66,1087.14,2216.50,564.66,564.66,564.67,564.68,564.70,825.92,982.65,1034.90,1076.69,246.29
Time to Second Token (ms),273.09,270.76,274.26,819.26,270.83,271.11,271.45,272.50,274.24,274.25,274.26,274.26,274.26,1.65
Tokens In Flight (tokens),197.39,0.00,391.76,,,,,,178.15,,344.29,368.03,385.83,99.61

Metric,Value
Benchmark Duration (sec),20.21
Input Token Throughput (tokens/sec),5.54
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),18.70
Request Count,3.00
Request Throughput (requests/sec),0.15
Total Input Sequence Length (tokens),112.00
Total Output Sequence Length (tokens),378.00
Total Reasoning Tokens (tokens),378.00
Total Token Throughput (tokens/sec),24.24
