Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),7.92,0.00,26.33,,,,,,7.70,,9.39,9.96,11.85,1.18
Active Decode Throughput Per User (tokens/sec/user),7.92,0.00,26.33,,,,,,7.70,,9.39,9.96,11.85,1.18
Active Prefill Throughput (tokens/sec),303.51,6.52,1205.46,,,,,,229.97,,733.99,926.02,1205.46,295.76
Active Prefill Throughput Per User (tokens/sec/user),303.51,6.52,1205.46,,,,,,229.97,,733.99,926.02,1205.46,295.76
Active Total Throughput (tokens/sec),25.23,6.43,1205.46,,,,,,7.60,,9.60,13.31,574.39,99.70
Credit-to-Start Latency (ms),1.15,0.54,2.01,57.47,0.59,0.66,0.74,0.92,1.11,1.27,1.72,1.87,1.97,0.35
Decode Duration (ms),15949.83,2234.96,33419.28,797491.51,4120.79,6100.64,8505.92,12272.93,16728.14,19828.60,22051.96,22924.14,29891.77,5780.44
E2E Output Token Throughput (tokens/sec/user),7.64,5.87,11.67,381.84,6.03,6.32,6.55,7.08,7.32,8.21,8.97,9.32,10.88,1.06
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.01
Effective Decode Concurrency,0.94,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.24
Effective Decode Throughput (tokens/sec),7.46,0.00,26.33,,,,,,7.62,,9.35,9.92,11.84,2.18
Effective Decode Throughput Per User (tokens/sec/user),7.46,0.00,26.33,,,,,,7.62,,9.35,9.92,11.84,2.18
Effective Latency (CO-aware) (ms),16943.17,3273.39,34348.50,847158.32,5113.52,7074.46,9501.20,13451.09,17781.34,20788.06,23057.49,23903.37,30867.84,5774.47
Effective Prefill Concurrency,0.06,0.00,1.00,,,,,,0.00,,0.00,1.00,1.00,0.23
Effective Prefill Throughput (tokens/sec),17.77,0.00,1205.46,,,,,,0.00,,0.00,11.92,574.39,101.00
Effective Prefill Throughput Per User (tokens/sec/user),17.77,0.00,1205.46,,,,,,0.00,,0.00,11.92,574.39,101.00
