Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),20.49,0.00,35.01,,,,,,23.84,,26.38,26.48,26.55,6.35
Active Decode Throughput Per User (tokens/sec/user),8.18,0.00,15.83,,,,,,8.14,,8.80,8.83,8.92,0.45
Active Prefill Throughput (tokens/sec),50.51,13.68,50.52,,,,,,50.52,,50.52,50.52,50.52,0.59
Active Prefill Throughput Per User (tokens/sec/user),16.84,13.68,18.94,,,,,,16.84,,16.84,16.84,16.84,0.04
Active Total Throughput (tokens/sec),21.73,7.60,50.52,,,,,,25.01,,25.01,25.01,50.52,8.56
Credit-to-Start Latency (ms),1.65,1.45,1.76,4.94,1.46,1.48,1.51,1.59,1.72,1.74,1.76,1.76,1.76,0.14
Decode Duration (ms),18304.96,13639.99,22107.80,54914.87,13750.53,14192.70,14745.40,16403.53,19167.08,20637.44,21519.66,21813.73,22048.99,3510.31
E2E Output Token Throughput (tokens/sec/user),7.96,7.33,8.29,23.87,7.35,7.42,7.51,7.79,8.25,8.27,8.28,8.29,8.29,0.44
Effective Concurrency,2.50,0.00,3.00,,,,,,3.00,,3.00,3.00,3.00,0.71
Effective Decode Concurrency,2.38,0.00,3.00,,,,,,3.00,,3.00,3.00,3.00,0.86
Effective Decode Throughput (tokens/sec),19.64,0.00,35.01,,,,,,23.83,,26.38,26.48,26.55,7.44
Effective Decode Throughput Per User (tokens/sec/user),7.84,0.00,15.83,,,,,,8.13,,8.80,8.83,8.92,1.69
Effective Latency (CO-aware) (ms),19256.73,14591.71,23059.46,57770.18,14702.25,15144.44,15697.17,17355.36,20119.01,21589.23,22471.37,22765.42,23000.66,3510.31
Effective Prefill Concurrency,0.12,0.00,3.00,,,,,,0.00,,0.00,0.00,3.00,0.60
Effective Prefill Throughput (tokens/sec),2.08,0.00,50.52,,,,,,0.00,,0.00,0.00,50.52,10.04
Effective Prefill Throughput Per User (tokens/sec/user),0.69,0.00,18.94,,,,,,0.00,,0.00,0.00,16.84,3.35
Effective Total Throughput (tokens/sec),21.72,0.00,50.52,,,,,,25.01,,25.01,25.01,50.52,8.56
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,58.33,44.00,70.00,175.00,44.34,45.70,47.40,52.50,61.00,65.50,68.20,69.10,69.82,10.78
HTTP Chunks Sent,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),1.26,1.09,1.40,3.77,1.09,1.11,1.13,1.19,1.29,1.34,1.37,1.39,1.39,0.13
HTTP Connection Overhead (ms),1.80,1.60,1.99,5.39,1.61,1.62,1.64,1.70,1.80,1.89,1.95,1.97,1.98,0.16
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),15.64,11.91,18.63,46.93,12.00,12.36,12.81,14.15,16.39,17.51,18.18,18.40,18.58,2.79
HTTP Data Sent (KB),0.22,0.21,0.23,0.66,0.21,0.21,0.21,0.22,0.23,0.23,0.23,0.23,0.23,0.01
HTTP DNS Lookup (ms),0.54,0.51,0.59,1.62,0.51,0.51,0.51,0.52,0.52,0.55,0.57,0.58,0.59,0.03
HTTP Duration (excl. conn) (ms),19254.80,14590.04,23057.44,57764.41,14700.57,15142.73,15695.42,17353.48,20116.93,21587.19,22469.34,22763.39,22998.63,3510.15
HTTP Receiving (ms),18660.62,14027.93,22447.28,55981.86,14137.51,14575.81,15123.68,16767.29,19506.65,20976.96,21859.15,22153.21,22388.47,3488.85
HTTP Sending (ms),1.81,1.49,2.03,5.43,1.50,1.53,1.57,1.70,1.91,1.97,2.01,2.02,2.03,0.23
HTTP Total Time (ms),19256.60,14591.64,23059.24,57769.80,14702.18,15144.37,15697.10,17355.28,20118.92,21589.08,22471.18,22765.21,23000.44,3510.25
HTTP Waiting (TTFB) (ms),592.37,560.61,608.26,1777.12,561.57,565.38,570.14,584.43,608.25,608.26,608.26,608.26,608.26,22.46
Input Sequence Length (tokens),16.00,13.00,18.00,48.00,13.08,13.40,13.80,15.00,17.00,17.50,17.80,17.90,17.98,2.16
Inter Chunk Latency (ms),324.94,295.16,352.99,54914.87,297.36,305.96,306.80,311.78,326.13,337.60,341.93,344.47,347.26,14.07
Inter Token Latency (ms),120.47,113.67,131.59,361.42,113.72,113.92,114.17,114.92,116.16,123.88,128.51,130.05,131.29,7.93
OSL Mismatch Diff % (%),-1.98,-2.42,-1.74,-5.94,-2.41,-2.35,-2.29,-2.10,-1.78,-1.76,-1.75,-1.75,-1.74,0.31
Output Sequence Length (tokens),152.00,121.00,169.00,456.00,121.90,125.50,130.00,143.50,166.00,167.50,168.40,168.70,168.94,21.95
Output Token Throughput Per User (tokens/sec/user),8.34,7.60,8.80,25.01,7.62,7.70,7.80,8.10,8.61,8.70,8.76,8.78,8.79,0.53
Prefill Throughput Per User (tokens/sec/user),16.84,13.68,18.94,50.52,13.77,14.10,14.52,15.79,17.90,18.42,18.73,18.84,18.92,2.27
Reasoning Token Count (tokens),152.00,121.00,169.00,456.00,121.90,125.50,130.00,143.50,166.00,167.50,168.40,168.70,168.94,21.95
Request Latency (ms),19255.08,14590.25,23057.74,57765.24,14700.79,15142.95,15695.65,17353.75,20117.24,21587.49,22469.64,22763.69,22998.93,3510.18
Time to First Token (ms),950.12,949.94,950.27,2850.37,949.95,949.96,949.99,950.05,950.16,950.22,950.25,950.26,950.27,0.14
Time to Second Token (ms),318.27,318.24,318.29,954.80,318.24,318.25,318.25,318.26,318.27,318.28,318.28,318.29,318.29,0.02
Tokens In Flight (tokens),223.60,0.00,392.22,,,,,,237.86,,335.35,359.72,384.10,93.44

Metric,Value
Benchmark Duration (sec),23.06
Input Token Throughput (tokens/sec),2.08
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),19.77
Request Count,3.00
Request Throughput (requests/sec),0.13
Total Input Sequence Length (tokens),48.00
Total Output Sequence Length (tokens),456.00
Total Reasoning Tokens (tokens),456.00
Total Token Throughput (tokens/sec),21.85
